-11.875,-6.875
34.062,39.062
11.000,16.000
35.812,40.812
79.438,74.438
55.750,50.750
-8.938,-13.938
34.125,39.125
80.062,85.062
-33.000,-28.000
10.938,5.938
53.562,48.562
78.750,73.750
-35.812,-40.812
11.500,16.500
-35.125,-40.125
-80.312,-85.312
-56.750,-51.750
-79.375,-74.375
34.625,29.625
-10.500,-15.500
55.375,50.375
-9.688,-4.688
35.688,30.688
11.188,6.188
36.625,31.625
-8.062,-3.062
55.000,60.000
-78.125,-83.125
-34.812,-39.812
79.375,74.375
-53.562,-58.562
-8.625,-13.625
-53.688,-58.688
-79.562,-84.562
-53.250,-58.250
9.938,14.938
-56.500,-61.500
81.562,76.562
56.812,61.812
11.688,16.688
-34.438,-29.438
-9.500,-14.500
-36.812,-41.812
-79.125,-74.125
-36.188,-31.188
80.125,85.125
-55.250,-50.250
-11.562,-6.562
-36.375,-31.375
-8.750,-3.750
-55.438,-50.438
8.375,3.375
56.125,61.125
-81.125,-76.125
33.062,38.062
-81.312,-86.312
55.250,50.250
79.250,84.250
34.812,29.812
-82.000,-77.000
54.312,59.312
8.312,3.312
-56.062,-51.062
79.000,84.000
